id,identity_key,ip,location,lat,lon,country,iso3,version
2411,291kkftqE2KXMRPMHJgHFxeP9izTFytjzx8bhasr21CN,64.225.67.228:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2412,3KuSwRHELWjdXt8m6gWAZ55bCb1U26A2mXd1UGaLtmyx,104.248.207.108:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2415,F8tDcPgaHK9K8ksDtKvzUYRyfiy8MdYtkN5V35BguyzC,116.202.24.198:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
2423,Ezckqv1CEgvq8Ui5rtW2pWM4qsjxgnDLmtdgxXuCkm4f,49.12.98.66:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2424,3ZLgqPkBmyPTPYi71vG24dpC7FeQNukG6dqBYuMAzrG7,206.189.11.60:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2426,HaVNoRZyCvBKuLbHY5MhGTUkYPCptBQhGfFKU9mTFPKF,207.154.200.137:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2427,8LFDi54WsL2MjLhebqzZV8qRFX5c98er1fmEL32fBDUs,80.240.26.71:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2429,mnSUrmVjrytbhBJ6iABzJTTgPw11oLhvvVac7iyzzFR,45.76.35.212:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2430,2y483fo68DSaXpy4wbsN82xB8MZteHNoBRJBXtGdyvLJ,165.227.237.98:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2436,8ZSruwnV8tETPvYUWXFbDib7ZY1nQR3mTzs3MeDsYzA8,46.101.240.194:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2442,DuiACE7U9yN5RuzUjF7zPpZyrVpiR7NzmyJrnaY19ZZ8,138.68.191.28:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2443,GhAUeveE7uSo6n1okqZ4Y2ugTykCNiE8qhTt5QZhT6Ga,188.40.243.156:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
2444,7aiBKTd5WCfyJoVm8eYLm4viWssw4orbiCShi45TiZD,159.65.169.55:1789,Brighton,50.8429,-0.1313,United Kingdom,GBR,0.10.1
2447,8rZxkK7yvUkwrU3vZFgzoqmnSFVk8C33WnPFim49FHVE,134.209.224.21:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2448,5yJmX7EvcjRfsqbgJdoGupmFhSjvX5Z44PcaHbGjssjG,45.32.156.43:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2451,2RhVrZW9ZEFx2uCkTnxL5p6gBDuLUm6fVSamGgS5Q89b,[2a01:4f8:c2c:5bb2::5]:1789,Toulouse,43.6045,1.444,France,FRA,0.10.1
2457,9mYaXXvEjENaJ5BFi84Ktr52JGa51FDB3WZYWWcfE5zX,49.12.107.159:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2462,3jrRwTu2UNXuAsDGhjT1yiKhUmNPR8UePux3tvN5iedX,45.76.84.45:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2467,8TJqQBXHxxuJP835UqK1YajZbvprfEJSUHLk5nJRiBr4,209.250.250.119:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2469,Esm6NWNWGwegirAzvbKJp9jSfabn1UjV9mnNo7ouQ21W,167.71.68.92:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2473,7KXNViVwDENd4bhNK37P8PrTo63DqL1iKT9QMs5jWMoM,206.189.4.65:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2479,PhJsW2s2raPgWiFs7zy6jKJwKM83x6s6yE1UYtPops5,64.227.66.200:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2480,C1zmdmvmHGjex8SxqEv4sSnZd81hXJ9P6qW2JBfiJvE3,62.171.158.119:1789,Munich,48.1372,11.5755,Germany,DEU,0.10.1
2481,5sWvVaBYoo5wVBSRSETSFn8YAXHBS5B7DWEc4ms9Z4cD,162.55.35.48:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
2482,5cm5fgm6j8DRzNivrF7nH7esqFvc7Mvrfhz3kmQHb9jg,188.166.108.122:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2485,ADuoNvY6ABiZ71tzTKv8dzAZ6SG1pm6WdU8sNXrZa3vh,217.163.28.27:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2486,5pNtJCxu4x52gU8JEp2rQixtNGh1p2LHvi1iqR5bphr6,209.250.255.172:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2487,GKB32hMKK19nPEW2LBPyMEeyFE6hCsovDb7TiifpaSHk,68.183.14.146:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2491,GtRjP7aw9xVvquqnTDQ4kwBTwvtbUXWhdpobyqXgWfri,140.83.59.200:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2493,5UEX7HUjCQejgzfudwBHdn56VFS4uNYt3zzWn6vu3KCm,167.99.222.80:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2495,3XSqmsZLf9umneEJJuGTCRPzFvF6FxfpTqnjg9agD8Xc,[2a01:4f8:c17:da3a::1]:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
2499,3Y4zcz8dyoQuU1j7snSfkV3VGZtbn5J2naCwyfcoQW1N,157.90.26.144:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2502,3mNoyPHnNogGyB6sQPUea1f1JyQSVRve5oCLw5rFSAGT,165.22.195.14:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2503,ESPBxdfHDPimVfe7DDLX7ewwAxFeRp7ghxJtKCazMaup,[2a01:4f9:c011:3c18::6]:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2505,EkkWvdePy7sqfaphYz2kyKUT95AMccP5yidkkkZw77vZ,165.22.205.32:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2507,CF9c1X2MBLV2N9mdhfYGQyEWkHjXGdxdL4FKccpkKFWy,46.101.218.94:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2510,DVaxnxNaP6yQFFv6Gm3dSXpPRGVDcAMGrWF7KckxCUpv,199.247.23.43:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2512,Hj9yq1AjD8urJG7rK4mxTJVzu7Kyf2LgUpUrevMKvMYS,5.188.108.156:1789,Warsaw,52.2167,21.0333,Poland,POL,0.10.1
2514,31cC34NHZUc9pfc5CtbQQt2W6WjcZmNb2FkJJE3wed9J,157.245.79.66:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
